INABG1	ALIBAG
INACH1	ACHRA
INADI1	ANDROTH ISLAND
INAGR4	AGRA
INAGR6	AGRA
INAGX4	AGATTI ISLAND
INAJL4	AIZAWL
INAKD4	AKOLA
INALF1	ALLEPEY
INAMD4	AHMEDABAD
INAMD6	AHMEDABAD
INAMG6	AMINGAON (GAUHATI)
INAMI1	AMINI ISLAND
INANG1	ANIJENGO
INANL1	ARNALA
INAPT6	ANAPARTI
INARR6	AROOR
INASR2	AMRITSAR RAILWAY STA
INATQ4	AMRITSAR
INATQ6	AMRITSAR
INATR8	ATTARI ROAD
INATT2	ATTARI  RAILWAY STAT
INAZK1	AZHIKKAL
INBDQ1	VADODARA
INBOM1	MUMBAI (EX BOMBAY)
INBOM4	MUMBAI (EX BOMBAY)
INBOM5	MUMBAI (EX BOMBAY)
INBRH1	BROACH
INBRM1	BORLAI – MANDLA
INBRY1	BORYA
INBSR1	BULSAR
INBUD1	BUDGE-BUDGE
INCAM1	CAMBAY
INCAP1	CALINGAPATAM
INCAR1	CARIJAM
INCBD4	CAR NICOBAR
INCBD8	CHANGRABANDH
INCBL1	CHANDBALI
INCCJ1	KOZHIKODE (EX CALICU
INCCJ4	KOZHIKODE (EX CALICU
INCCU1	CALCUTTA
INCCU4	CALCUTTA
INCCU5	CALCUTTA
INCDL1	CUDDALORE
INCDP4	CUDDAPAH
INCHM8	CHAMURCHI
INCHP8	CHAMPAI
INCHR1	CHAPORA
INCJB4	COIMBATORE
INCJB6	COIMBATORE
INCLX6	CHIRALA
INCNN1	CANNANORE
INCOH4	COOCH BEHAR
INCOK1	COCHIN
INCOK4	COCHIN
INCOL1	COLOCHEL
INCOO1	COONDAPUR (GANGULY)
INCRN1	CORNWALLIS
INCTI1	CHETLAT ISLAND
INCUM1	CUTCH MANDVI
INDAE4	DAPARIZO
INDAH1	DAHEJ
INDAI4	DARJEELING
INDAM1	DAMAN
INDAM4	DAMAN
INDBD4	DHANBAD
INDED4	DEHRA DUN
INDEG1	DEOGAD
INDEL4	DELHI
INDEL5	DELHI
INDEP4	DEPARIZO
INDHB8	DHUBRI STEAMERGHAT
INDHL8	DHALAIGHAT
INDHM4	DHARAMSALA
INDHP1	DABHOL PORT
INDHR1	DHOLERA
INDHU1	DAHANU
INDIB4	DIBRUGARH
INDIG6	DIGHI (PUNE)
INDIU1	DIU
INDIU4	DIU
INDIV1	DIV
INDLA8	DHARCHULA
INDLU8	DALU
INDMR8	DEMAGIR
INDMT1	DHARAMTAR
INDMU4	DIMAPUR
INDRG8	DARRANGA
INDRK1	DWARKA (RUPEN)
INDRL1	DABOLIM
INDSK1	DHANU-SHKODI
INDTW1	DANTIWARA
INDWA1	DWARKA
INDWK8	DAWKI
INENR1	ENNORE
INESH1	ELPHINSTONE HARBOUR
INFBD3	FARIDABAD
INGAI8	GAURIPHANTA
INGAL8	GALGALIA
INGAU1	GAUHATI (PANIDI)
INGAU2	GAUHATI (PANIDI)
INGAU3	GAUHATI (PANIDI)
INGAU4	GAUHATI (PANIDI)
INGAW2	GUWAHATI
INGAY4	GAYA
INGED2	GEDE RAILWAY STATION
INGGA1	GOGHA
INGGN2	GURGAON
INGGN3	GURGAON
INGHA1	GHOGHA
INGHP8	GHASUAPARA
INGHW8	GAUHATI STEAMERGHAT
INGJI8	GUNJI
INGJX8	GHOJADANGA
INGKJ2	GOLAKGANJ RAILWAY ST
INGOI4	GOA
INGOP4	GORAKHPUR
INGPR1	GOPALPUR
INGTG8	GITALDAH ROAD
INGTR2	GUNTUR
INGTR3	GUNTUR
INGTZ8	GETANDAH
INGUX4	GUNA
INGWL4	GWALIOR
INGWL6	MALANPURI (GWALIOR)
INHAL1	HALDIA
INHBX4	HUBLI
INHGL8	HINGALGANJ
INHGT1	HANGARKATTA
INHJR4	KHAJURAHO
INHLD2	HALDIBARI RAILWAY ST
INHLI8	HILLI
INHON1	HONAVAR
INHRN1	HARNAI
INHSS4	HISSAR
INHTS8	HATISAR
INHWR1	HONAWAR
INHYD3	HYDERABAD
INHYD4	HYDERABAD
INHYD6	HYDERABAD
INIDR4	INDORE
INIMF4	IMPHAL
INISK4	NASIK
INISK6	NASIK
INIXA4	AGARTALA
INIXC4	CHANDIGARH
INIXD4	ALLAHABAD
INIXE1	MANGALORE
INIXE4	MANGALORE
INIXH4	KAILASHAHAR
INIXI4	LILABARI
INIXJ4	JAMMU
INIXK4	KESHOD
INIXL4	LEH
INIXM4	MADURAI
INIXN4	KHOWAI
INIXP4	PATHANKOT
INIXQ4	KAMALPUR
INIXR4	RANCHI
INIXS4	SILCHAR
INIXT4	PASIGHAT
INIXU4	AURANGABAD
INIXW4	JAMSHEDPUR
INIXY1	KANDLA
INIXY4	KANDLA
INIXZ1	PORT BLAIR
INIXZ4	PORT BLAIR
INJAI4	JAIPUR
INJAI6	JAIPUR
INJAK1	JAKHAU
INJAL6	JALGAON
INJAY8	JAYANAGAR
INJBD1	JAFRABAD
INJBN8	JOGBANI
INJDA1	JODIA
INJDH4	JODHPUR
INJDH6	JODHPUR
INJGA4	JAMNAGAR
INJGB4	JAGDALPUR
INJGD1	JAIGAD
INJHO8	JHULAGHAT (PITHORAGA
INJIG8	JAIGAON
INJLR4	JABALPUR
INJPG8	JALPAIGURI
INJRH4	JORHAT
INJSA4	JAISALMER
INJTP1	JAITAPUR
INJUC6	JALANDHAR
INJWA8	JARWA
INKAK1	KAKINADA
INKAK6	KAKINADA
INKAL1	KALLAI
INKAP6	KAPADRA (SURAT)
INKBT1	KHAMBHAT
INKDD6	KAREDU
INKDI1	KADMAT ISLAND
INKDN1	KODINAR(MULDWARKA)
INKDP1	KONDIAPETNAM
INKEL8	KEL SAHAR SUBDIVISIO
INKGJ8	KARIMGANJ STEAMERGHA
INKIW1	KELWA
INKKR1	KILAKARI
INKLH3	KOHLAPUR
INKLH4	KOHLAPUR
INKLY1	KALYAN
INKMB1	KUMBHARU
INKND1	KANKUDY
INKNL8	KUNAULI
INKNU4	KANPUR
INKNU6	KANPUR
INKOC5	KOCHI
INKOD1	KODINAR
INKOI1	KOILTHOTTUM
INKOK1	KOKA
INKON1	KONARAK
INKON3	KONARAK
INKRI1	KRISHNAPATNAM
INKRK1	KARAIKAL
INKRN1	KARANJA
INKRP1	KIRANPANI
INKRW1	KARWAR
INKSG1	KASARGOD
INKSH1	KELSHI
INKSP1	KULASEKARAPATNAM
INKTD1	KOTDA
INKTG8	KATARNIYAGHAT
INKTI1	KILTAN ISLAND
INKTR8	KATHIHAR
INKTT6	KOTA
INKTU4	KOTA
INKTU6	KOTA
INKTW1	KOTESHWAR
INKUN3	KUNDLA
INKUU4	KULU
INKVI1	KAVI
INKVL1	KOVALAM
INKVT1	KAVARATTI ISLAND
INKWA8	KHUNWA
INKWG8	KHOWAIGHAT
INKXJ2	KARIMGANJ RAILWAY ST
INLDA4	MALDA
INLGL8	LALGOLA TOWN
INLKO4	LUCKNOW
INLPR1	LEAPURAM
INLTB8	LATU BAZAR
INLUH4	LUDHIANA
INLUH6	LUDHIANA
INMAA1	CHENNAI (EX MADRAS)
INMAA4	CHENNAI (EX MADRAS)
INMAA5	CHENNAI (EX MADRAS)
INMAH1	MAHE
INMAL1	MALPE
INMAP1	MASULIPATNAM
INMBD6	PAKWARA (MORADABAD)
INMCI1	MINICOI I
INMDA1	MAGDALLA
INMDK1	MULDWARKA
INMDP1	MANDAPAM
INMDV1	MANDVI
INMDW1	MEADOWS
INMER3	MEERUT
INMGH8	MAHENDRAGANJ
INMGR1	MANGROL
INMHA1	MAHUVA
INMHD8	KOTAWALIGHAT (MOHEDI
INMHG8	MAHURIGHAT
INMHI3	MOHALI
INMHN2	MAHISASHAN RAILWAY S
INMKC8	MANIKARCHAR
INMLI1	MAROLI
INMLP1	MALLIPURAM
